id,album,genre,duration
1078015895,Ngại Ngùng,Nhạc Trữ Tình,254.4065306122449
1078015016,Đưa Em Đến Nơi Xa (Single),Nhạc Trẻ,228.62367346938777
1076404163,Sao Anh Đành Phụ Em,Nhạc Trữ Tình,299.544
1078121046,Mừng Ngày Phật Đản (Single),Nhạc Tôn Giáo,285.384
1078040864,Lại Nhớ Người Yêu,Nhạc Trữ Tình,278.62204081632655
1076402270,unknown,Nhạc Trữ Tình,296.664
1078003089,Người Phản Bội (Cover),Nhạc Trẻ,301.992
1078135949,Cội Nguồn Tu,Nhạc Tôn Giáo,269.505306122449
1076342171,Thầy Và Những Người Bạn,Nhạc Trữ Tình,294.0604081632653
1078301562,Khi Em Ngang Qua Đời Tôi,Nhạc Trẻ,318.4065306122449
1078014933,Tình Yêu Thấu Tận Trời Xanh,Nhạc Trữ Tình,221.62285714285716
1076456896,Cát Bụi Cuộc Đời (Single),Trữ Tình & Bolero,321.552
1078067385,Sầu Lẻ Bóng 2,Nhạc Trữ Tình,320.705306122449
1076403510,Ngài Đến Tìm Con,Nhạc Tôn Giáo,237.528
1074613570,Tiếng Hát Từ Nhịp Tim (Top Hits 19),Nhạc Trữ Tình,275.4089795918367
1076392355,Giờ Xa Lắm Rồi,Nhạc Trữ Tình,273.6065306122449
1076431863,Lặng Nhìn Phía Sau Em,Nhạc Dance,301.4791836734694
1078153657,Dance On Me (Single),Nhạc Trẻ,172.43428571428572
1078198366,unknown,Nhạc Trữ Tình,218.48816326530613
1078230629,Càng Níu Giữ Càng Dễ Mất (Single),Nhạc Trẻ,296.82938775510206
1075810989,Hà Nội Ngày Tháng Cũ (Tình khúc Song Ngọc),Nhạc Trữ Tình,339.5134693877551
1078097921,Cô Gái Với Nụ Cười Việt Nam (Single),Nhạc Trẻ,333.7142857142857
1078039704,unknown,Nhạc Trẻ,308.03591836734694
1078159781,unknown,Nhạc Trẻ,321.192
1076342526,Ai Bằng Anh,Nhạc Trẻ,234.816
1078047400,Ước Nguyện Đầu Xuân,Nhạc Trữ Tình,330.144
