id,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,tempo,duration
1078015016,-534.2114,96.57794,11.350487,4.4566107,10.788597,9.182045,6.9962783,3.7269764,-3.0504458,6.5429473,4.2757845,-2.5158045,-1.3024466,-1.278555,-2.0995727,-2.3824959,-0.4264032,-1.1097871,1.1545478,1.6002625,103.85894,34.436844,24.495329,15.901915,16.485226,13.084427,12.772938,10.211787,11.07996,9.772632,8.780615,8.347828,7.528542,7.149543,7.872947,7.334312,7.496214,8.081321,8.868117,7.837201,103.359375,228.59065759637187
1078015895,-495.65417,100.09604,28.813555,21.505066,16.676657,2.2561758,11.091227,6.195684,-5.623527,2.8315513,2.9888303,-3.1581633,2.4060194,-1.6893545,-1.4952421,3.4961522,-1.6371224,-0.026849268,0.10190619,-2.9190338,78.11804,32.83778,22.307093,16.40367,16.089159,13.170292,11.583437,9.279668,11.269627,10.535543,8.088378,8.386751,9.122318,8.425731,8.1089525,7.7122,8.190109,8.250396,7.5049562,7.6400037,117.45383522727273,254.36843537414967
1078121046,-470.27747,47.221554,-4.9910364,17.33686,-0.29881608,3.4136753,1.6017559,-0.44636646,0.040056452,1.8919652,2.3150434,-1.9140755,0.55058503,-2.7756264,2.2242765,-0.36433685,-1.7742571,3.042326,2.5332625,0.72289556,80.05174,32.323166,16.10645,15.9312935,13.067484,10.706238,9.484566,8.999979,8.410176,9.13646,8.682378,8.9779005,9.2357235,8.548954,8.202522,7.9433217,8.860753,9.752939,12.196575,12.281981,95.703125,285.35895691609977
1076404163,-523.0777,86.34257,30.72286,17.117506,-1.0594871,-7.99524,15.59283,-8.171188,-6.324704,2.0073247,-8.979099,-5.3330126,-2.442357,-8.250801,4.1900725,0.4140949,5.277901,6.736641,4.6548676,5.186863,67.96569,26.815287,21.285093,19.438189,13.783793,16.24434,14.3524065,12.228337,10.274792,12.087362,9.6898775,9.180088,9.079691,10.70837,10.773659,11.763604,10.924179,12.833287,13.9250145,12.838469,161.4990234375,299.4990022675737
1078040864,-513.8921,107.590164,22.595047,23.092468,5.290489,1.7430217,6.6042013,-8.536724,6.8010926,5.2699337,-8.387966,7.68689,-3.0467253,3.830732,2.0094674,-0.66356444,-1.3487233,1.2331367,-0.57675016,1.5085328,67.63093,32.21976,23.435495,17.387619,15.91626,13.162399,11.695531,12.707703,12.961286,10.575832,11.570491,11.968522,11.010547,11.423782,12.187905,11.293989,9.793742,10.113141,11.5414715,13.379014,161.4990234375,278.59591836734694
1076402270,-474.84082,92.233505,28.9757,13.714326,9.211216,7.3014593,6.526724,-1.1883558,-0.79746324,-3.6605303,-2.4106867,-2.8405843,-1.4083151,-2.444896,2.7383342,1.6650997,2.8390462,2.5865521,-0.39337343,-3.8305547,53.885178,25.942602,18.165228,18.089725,14.242606,12.039424,10.576463,11.827644,11.104156,10.047283,8.988413,9.784501,9.940656,8.827692,9.487102,9.593634,10.153277,9.715175,10.144477,9.056125,161.4990234375,296.6186848072562
1078003089,-532.08734,104.56194,21.54335,7.7315807,8.083596,-2.0052037,-7.658547,-3.9840171,-9.8989935,-5.728737,-4.5567784,-7.3229847,-4.5805407,-1.4179626,-3.1558406,-5.006988,-2.9468668,-3.0636501,-0.5319584,1.2767153,111.588425,40.759598,22.000437,15.906987,12.30652,10.569453,12.442993,11.079208,11.104096,11.695328,10.315052,8.809286,9.362405,8.757954,8.79569,8.701568,8.244536,8.861763,10.577031,9.603992,99.38401442307692,301.9520181405896
1078301562,-539.25684,72.393776,8.522188,19.731031,6.0298347,6.0133805,2.984626,6.3782706,-3.0151474,3.6298203,7.170987,1.3027014,1.8451785,-1.4683952,-1.5437102,-2.7584357,-1.0348012,-0.18140607,-0.7492608,-1.1710889,112.41617,26.913963,16.821938,17.353277,12.926854,12.870183,12.177282,10.853789,13.176385,13.725373,12.95625,10.656894,9.203651,9.508235,8.082838,7.612913,7.943558,9.042821,8.4773035,9.567574,172.265625,318.3741496598639
1076342171,-492.22336,93.97809,18.016125,22.797215,11.432257,-5.287559,5.5766735,2.4276333,-8.707848,3.2100642,-3.8034444,-5.2206106,-0.06817095,-3.856288,-0.6630872,-5.2624564,-2.6454248,-2.6673002,-1.7118766,-2.6213102,79.730286,33.686687,21.234684,17.985977,13.7765045,12.366322,10.951149,12.274938,12.449144,11.216469,9.695876,9.263408,8.219569,7.8522887,8.589685,7.6259646,6.856001,7.2745314,7.126289,7.1827354,161.4990234375,294.03333333333336
1078135949,-528.47125,66.31903,14.984981,25.976997,15.038065,0.8976496,9.059813,4.531248,-0.8597079,4.27038,-2.634082,-4.5677986,0.6817791,-5.2039504,0.17683287,-1.7565477,-4.5623465,-5.9139957,-4.1961207,-2.7276459,98.40338,32.917545,21.339092,16.668169,13.033396,14.848217,11.302256,10.289979,12.081249,13.5126915,10.151737,10.154071,9.904688,11.009667,9.813738,8.729649,7.7418914,8.4796505,9.121134,9.829225,135.99917763157896,269.4790022675737
1078014933,-520.62915,81.835594,7.1041417,6.6658697,7.229461,-1.8780367,-2.6213696,-0.32278967,-3.7757578,-0.93326366,-3.0886655,-1.8988124,-1.7860485,-1.5648596,-3.5250201,-7.2750974,-2.0413072,-4.234851,-1.9130479,-1.5966662,101.07739,36.188255,17.538614,16.310247,13.94234,10.954172,10.700074,10.050352,11.322541,10.87405,9.222153,8.786151,9.522365,8.532305,8.389999,7.930556,8.045816,7.600559,10.255867,11.122767,107.666015625,221.59673469387755
1078067385,-560.13574,91.848915,27.118465,30.57116,14.543568,4.237091,4.543156,0.8346554,-1.2478902,-0.66692126,-5.216852,-2.5101655,-1.9653941,-2.9734306,-1.3034306,-1.1360476,-3.4154704,0.055671044,-0.281412,-3.3212867,51.252937,26.31084,18.962648,13.481457,11.245518,10.892962,9.670125,8.998121,9.673881,9.411271,9.514005,8.590192,9.1218815,8.903695,8.60001,8.763874,8.62381,9.125223,9.920941,10.135081,99.38401442307692,320.6675736961451
1074613570,-432.55017,91.67482,-14.676972,30.637314,9.037698,1.5226556,8.961348,7.9357176,4.014269,5.803147,-0.5316197,-1.5689002,3.9906642,1.0354553,-0.77222353,-0.25364846,-2.0607867,-1.982167,-0.954194,-1.4725951,87.983055,24.68941,25.012306,15.628765,11.686146,7.825437,8.912192,7.0462136,7.8091598,7.3019443,6.511936,6.9321675,6.92891,6.560378,6.4356337,5.7847347,5.9705453,6.334937,6.324219,6.145199,143.5546875,275.3839455782313
1076403510,-515.82074,104.81921,-7.2879634,15.145194,1.0445646,-2.7774484,-1.2031709,-3.6823854,-7.2253046,-5.814276,-10.331566,-5.9536552,-7.3093534,-3.085013,-1.911067,-1.446707,-0.25083262,-3.6038775,-3.829463,-2.7496023,93.975914,30.16026,16.687607,18.303995,13.353133,14.614809,10.022711,10.780863,12.349657,11.427851,11.311081,10.249717,11.224735,10.777486,11.367993,11.572529,10.689877,11.390889,11.536379,11.259012,151.99908088235293,237.5
1078153657,-511.18582,80.01807,3.1075687,25.981401,17.598318,-0.3616672,3.5490794,5.9969606,0.670738,5.665717,2.0459075,5.1477695,2.4440517,0.72134215,-1.5531876,0.44684458,-1.2286341,-0.92807436,-0.9960694,-3.4860117,115.55801,51.231453,30.749872,21.90422,20.800795,16.19654,14.960884,13.750303,12.449463,11.796191,9.501116,10.135436,9.348205,8.653679,9.144625,10.13509,10.048282,9.046937,7.870773,8.556739,103.359375,172.3958276643991
1076456896,-541.1706,104.71991,21.746147,17.23966,15.917328,5.7190394,7.8325872,4.3385625,-2.9306457,1.7198375,4.1768556,-3.5286834,2.5553093,-3.213136,-1.9426787,-0.26282316,-0.86120033,-4.703576,-4.951741,-6.867219,85.959366,39.503193,19.271164,17.251932,13.429774,14.615463,10.618228,9.559571,12.485528,12.222484,10.3480425,10.900403,9.483298,10.264419,9.264251,7.625079,7.9823613,8.8384695,8.272503,8.85099,151.99908088235293,321.5150113378685
1076392355,-514.26733,98.22892,20.706343,26.180433,12.751025,-4.4800777,9.349844,1.7609414,-7.3867564,-0.38374066,-3.4437683,-2.9733946,-0.95646757,-3.5888665,-1.5554829,0.78882426,-0.0054191104,-3.8239048,-1.4801229,-3.361779,82.76198,31.872604,18.947462,19.823421,12.993397,15.59183,10.490674,11.383267,11.813401,10.882165,9.876251,9.398942,9.5029,9.641304,8.874906,8.557645,9.275165,9.546383,9.045424,9.462181,143.5546875,273.56272108843535
1078198366,-467.223,66.85063,26.554888,13.278504,9.431474,9.373065,5.0146623,5.133981,-2.0683107,9.394656,2.8136435,-4.4732985,0.1535409,-1.7064576,1.3400915,-0.037877776,-1.0161422,-0.16841462,-2.9488027,-1.1849589,71.03196,29.720072,23.435781,22.84755,14.09122,11.840573,13.93978,10.523596,12.0254135,10.882085,9.63195,11.84934,10.095637,7.937153,8.042007,7.7302437,7.248444,7.7057266,9.401048,8.906046,83.35433467741936,218.45700680272108
1078230629,-554.55646,128.20795,14.850335,19.697838,8.382553,-0.53219885,0.30793715,-3.397637,-5.2077627,-3.11257,-5.2247534,-4.682074,-3.7044568,-2.184897,-4.332822,-2.1423411,-2.0355372,-0.46520433,-2.1413634,-3.433933,110.61892,34.879833,24.693785,16.7624,9.818095,9.247625,8.4278555,8.105508,8.635458,8.564929,9.003687,8.268813,8.534187,7.522005,6.715149,7.261214,6.6668983,6.9050756,7.7609677,7.964629,143.5546875,296.794693877551
