artist_id,artist_id_0,artist_id_1,artist_id_2,artist_id_3,artist_id_4
100158,0.036756895,-0.009245676,0.052409433,0.02325268,-0.03628251
10037,-0.007922715,-0.0028181076,-0.0042490293,0.013764009,-0.009465525
100811.12693,0.020879585,-0.02009893,-0.028870206,0.0050245747,-0.008938256
101026,-0.026482638,-0.0074915215,0.0055656014,-0.0048132166,0.00185351
10119,0.0046757134,-0.030069407,0.024675459,0.01538638,0.0015888095
101893,-0.037900988,-0.008104667,-0.024275113,0.009336838,0.0015969463
1019,-0.006152807,-0.026778376,0.0036105898,0.0068340925,-0.0051126597
102044,0.010060831,-0.014031914,-0.010245386,-0.02279807,0.005308154
10210,0.04482425,-0.00731972,0.018925402,-0.033229433,-0.05384487
102217.832,0.011914292,-0.0009781525,0.02455375,-0.026574414,0.00559107
1023,0.0118401395,-0.00096637604,0.010946326,-0.02410292,0.0070080645
10237,-0.017081764,-0.03393419,-0.011211849,-0.039831884,0.002279204
1024.899,-0.021329222,0.017134015,-0.0068062237,-0.034007054,0.0109949615
102693.67183,-0.00615747,0.028521907,0.021304559,0.0013580092,-0.0074651344
10343,0.0040201964,-0.01057087,0.017552327,0.025301222,-0.001581861
10343.613247,-0.00063554273,0.002145344,-0.0006984867,-0.019060725,0.0037211843
10348,0.06306714,-0.032296404,0.00471603,0.013824652,0.0075822743
103597.432565,-0.018631225,0.005519296,-0.008676259,0.01861234,0.016991947
103597.604844,-0.004046609,-0.010584168,-0.026875999,-0.002322609,-0.0019284517
103679,0.014680132,0.016073618,0.0033513631,0.025101408,0.014519651
103705,0.014437674,-0.05331426,0.024753092,-0.03860833,0.0040183044
103705.600472,0.021705901,-0.04138987,0.054475617,-0.010559696,-0.04262323
103705.600473,-0.0060838102,-0.013414664,0.0056413584,0.009196159,0.009241319
10431.173,0.025773993,0.012032425,-0.014807658,-0.0007436097,-0.0017864301
104338,0.009374494,-0.0420284,0.007731182,-0.0017906316,-0.020218438
104447,-0.023663942,0.038173255,-0.006517368,0.026352812,0.0051840283
10482,-0.017181411,0.031339094,0.008671765,-0.003309847,0.008152822
105017,-0.01469636,0.02088309,-0.009984235,0.02386724,0.014497453
105038.189627,0.014198002,-0.011998733,-0.028455615,-0.020855585,-0.0047239484
105052,-0.0183818,-0.013273796,-0.002990351,-0.029567193,-0.020209823
105117,-0.02750429,0.013688033,-0.022017531,-0.0050380463,0.0026764132
105124,0.01626496,-0.0025344058,0.013169673,0.007061784,-0.009689601
105141,-0.026712831,-0.011635731,-0.012077583,-0.035969395,-0.024404898
105141.60478,-0.011802952,-0.00920211,-0.008903833,-0.0188149,0.008456937
105164,0.071930215,-0.024477333,0.07038488,-0.0004851125,-0.010397928
105178,-0.034799732,0.014893982,-0.05974084,0.006995841,0.018120812
105258,-0.03540548,0.009607944,0.018113075,0.012692292,-0.015655454
"105258,374,451",-0.020126527,0.04030799,0.022979911,-0.040207513,0.01236272
105258.432027,0.032889433,-0.037624698,-0.024036836,0.018685028,0.007956061
105259,-0.026555117,0.033827048,-0.017850397,0.019657461,-0.012108845
105259.225,-0.011418621,-0.0034510656,0.0019571558,-0.024728332,-0.0028793488
105317,-0.01841661,-0.002022919,-0.016740207,0.0002796486,0.013167274
"105317,7943,77302,432275,432339",-0.016188031,-0.041845284,0.04125745,-0.016487787,0.020505896
105478,-0.044535935,0.03193402,-0.008693437,-0.019267432,-0.016354611
105478.2782,-0.008772009,-0.02123679,-0.027148742,-0.0009226166,-0.0027739946
105515,-0.00083399715,-0.03103087,0.013023516,0.0016346403,-0.0147815095
105608,-0.010973347,0.016537633,-0.022643719,-0.005610497,0.004511702
105613,0.01017599,0.017957041,-0.020846272,0.017522147,0.029335182
105616,0.01615448,0.009484068,-0.020963304,-0.0034608617,0.022868013
105616.603218,-0.01950914,0.008461034,-0.015525019,-0.046678893,0.006758523
105630,0.0014598131,-0.012094347,-0.036649354,0.0040335804,0.013391355
105630.73205,0.017922644,-0.005427906,-0.021142565,-0.011679545,-0.0022838265
105725,-0.0055387416,-0.046665795,0.005918505,0.0023788703,-0.017075991
105818,0.056153942,-0.014025999,0.0053635,0.014892573,-0.0127647165
106052,0.00396563,0.0073287017,0.00031783077,0.009697964,-0.0018687465
106082,0.021805504,-0.0010072596,0.0039598583,-0.018189088,-0.0052039055
106088,-0.027501453,0.0091165295,-0.02252077,0.01607971,-0.008136134
106208.602503,-0.03811787,-0.0019140799,0.0058346563,-0.013507227,-0.016279465
106369,-0.0020555626,0.027879845,-0.002708809,0.015862152,-0.008939864
106410,-0.0105460575,-0.0022844232,0.015786782,-0.0052949265,-0.0085592475
10656,-0.015482215,-0.0083888415,0.0044937087,0.030845514,0.0054339166
106575,-0.007944073,-0.0074076154,0.05853488,-0.012058385,-0.01092384
106575.604017,-0.0054406314,-0.0064818114,-0.031013336,0.010437075,0.020549675
106634,-0.016355041,0.014332889,-0.020714443,0.0029923716,0.019289177
10666,0.019033138,-0.017754853,0.026816774,0.0001941681,-0.033261746
10666.52374,0.008813246,-0.011983946,-0.0044824956,-0.015747475,-0.0021219463
106691,-0.02406555,-0.018175421,-0.0389683,0.005141276,0.032035768
106691.432565,-0.013710493,-0.022922408,0.010159819,-0.022849822,0.022050394
106691.605086,-0.026051093,0.04635758,0.024290403,0.040585317,-0.011347383
1067,-0.011615838,-0.015368874,0.013483539,0.006007757,-0.018053258
1067.106052,0.027573865,-0.022600153,-0.011457028,0.016947966,-0.01762331
1067.11753,0.013836587,-0.020598548,-0.0050821216,0.0040143477,-0.0020007268
1067.173,0.0032299687,-0.01184251,-0.007940791,-0.008619911,-0.0076801754
