composers_id,composers_id_0,composers_id_1,composers_id_2,composers_id_3,composers_id_4
100003,0.06194844,0.023158606,-0.05054762,0.017957777,-0.02615344
100006,-0.070083745,0.054017983,0.008564681,-0.010868581,0.01905052
100009,-0.08214593,-0.0022209943,0.050009005,-0.033195652,-0.033830784
100010,-0.12047601,0.050579656,0.046033315,-0.020393308,0.039377294
100011,-0.043587457,-0.02784906,-0.02255718,-0.01687719,-0.024378339
"100011,7351,100086",-0.014667379,0.0117757125,0.020194218,-0.022478297,0.032281727
100011.100043,0.011945696,0.0236068,0.0354236,0.0006431442,0.006261596
100011.100056,-0.0056463415,-0.0042286785,-0.04939879,0.0057945284,0.020048147
100011.102319,-0.006218415,0.012902865,0.0053511444,-0.0149643,-0.01589303
100012,-0.015007051,0.008078134,0.0038087077,0.006389849,0.0019906485
100013,0.018865013,-0.02973718,-0.010807477,0.00078139006,0.01229098
100014,0.035795234,-0.03246813,-0.058575254,-0.017275441,0.011467247
100015,-0.004996809,-0.03760404,0.0036185489,-0.015047729,0.0036261524
100015.102982,-0.01070197,0.013883981,0.013101943,-0.009219395,0.011412575
100016,-0.016789075,0.0030917525,0.026929328,0.00820933,-0.013267964
100018,-0.022613868,-0.019072752,0.012993599,-0.0018432817,0.0045468574
100019,-0.060629375,-0.0024162591,0.001965285,-0.0070256963,0.0005400609
"100019,100131,431462",0.059612237,-0.03438748,-0.044066705,0.010016606,0.015038131
100020,0.009430471,-0.012612425,-0.020055756,-0.015453589,0.0028812021
100020.100367,-0.04234813,0.019451195,0.017044282,-0.0073000626,-0.015865475
100020.102342,-0.035434444,0.015130848,0.019952709,0.0011877551,0.011368031
100022,0.029911458,0.0075221425,0.0019231349,0.012106924,0.011024626
100023,-0.041926842,-0.014772119,0.03298153,-0.0060853185,-0.060376965
100025,0.03694465,-0.018680546,0.0075068786,-0.033430915,-0.021854762
"100025,100046,100144",-0.042411517,0.0033905513,0.01098422,-0.0140101835,0.0073442096
100026,-0.03321752,-0.040988725,0.009721038,-0.028546756,-0.011593977
100027,0.032689832,-0.050731905,-0.0126727475,0.016924653,-0.040512368
100028,-0.0155157745,0.017303672,-0.0050246045,-0.01626588,0.038746614
100029,-0.0078508025,-0.0023694027,0.020396937,0.0071796468,-0.04805368
100031,-0.029294629,-0.03473737,0.019909307,-0.023761127,-0.02970391
100035,-0.025367778,0.0018348836,0.03715479,-0.0026533976,0.021436632
100036,-0.0058734096,-0.035337884,-0.007527159,-0.024484014,-0.00027981697
100037,-0.09151182,0.01709671,0.0076408423,-0.035479188,-0.008437208
100037.101512,-0.027453188,-0.0045397775,-0.05002175,0.019598138,0.0070025646
100038,0.023882922,0.0072756424,0.0030283737,0.0074373605,-0.010747512
100038.100739,9.131133e-05,-0.01356865,-0.0034820437,-0.011390093,-0.0048238845
100038.107702,0.032836568,0.011735742,-0.0006964,0.020052647,0.013523455
100038.189915,0.0135130985,-0.021459468,-0.03473,0.016125396,0.009007772
100039,-0.007949844,-0.047549635,0.02514728,0.0021647767,-0.04972753
100040,0.006343771,0.005757811,-0.008445333,0.006306859,0.02179866
100041,0.00063526706,0.024692023,0.07019553,0.0014668163,0.021553844
100042,-0.042411406,0.0022488793,0.019344138,-0.015311008,-0.00808779
100043,-0.049475685,0.022212332,0.010243451,-0.010091191,0.018486734
"100043,100288,103165,100337",-0.018211696,0.0052256966,-0.009408539,0.0137104,-0.04783346
100043.100288,-0.004786902,0.0028651778,0.016769547,-0.0013380671,0.0080862325
100043.269971,0.08669616,-0.0028354363,-0.060687654,0.030922037,0.03827392
100043.7351,-0.037054665,0.038752217,0.015771264,-0.044657126,0.009349277
100043.7735,-0.019706994,0.013292415,0.013857228,0.01075808,-0.0025861685
100045,0.039459545,-0.02903146,-0.021769885,0.013290075,0.0050367285
